vocabulary,ni,occurrences
8mp,5,"[['2', 4], ['8', 5], ['11', 2], ['16', 2], ['18', 2]]"
8pram,1,"[['16', 1]]"
8ram,1,"[['24', 1]]"
9.0,2,"[['8', 1], ['9', 3]]"
9.1%,1,"[['16', 1]]"
9.3.6,1,"[['22', 2]]"
9.9,1,"[['18', 1]]"
"908,99",1,"[['22', 1]]"
90hz,2,"[['11', 2], ['15', 2]]"
91.7%,1,"[['18', 1]]"
92%,1,"[['4', 1]]"
"933,5",1,"[['24', 1]]"
"941,38",2,"[['22', 1], ['24', 1]]"
95%,2,"[['4', 1], ['7', 1]]"
"97,8%",1,"[['24', 1]]"
98%,2,"[['4', 1], ['7', 1]]"
98%srgb,1,"[['60', 1]]"
98.8%,1,"[['23', 2]]"
"989,73",1,"[['22', 2]]"
99.9%,1,"[['21', 6]]"
995,1,"[['22', 1]]"
"996,57",1,"[['22', 1]]"
999.,1,"[['9', 1]]"
a02,1,"[['43', 1]]"
a02s,2,"[['8', 1], ['43', 1]]"
a03s,2,"[['2', 1], ['8', 1]]"
a107m,1,"[['8', 1]]"
a10e,1,"[['24', 1]]"
a10s,1,"[['8', 2]]"
a11,3,"[['22', 1], ['23', 2], ['24', 1]]"
a115u,1,"[['23', 2]]"
a12,3,"[['8', 3], ['22', 2], ['43', 1]]"
a125m,1,"[['8', 1]]"
a127,1,"[['8', 1]]"
a1387,1,"[['22', 2]]"
a1633,1,"[['22', 2]]"
a1662,1,"[['22', 1]]"
a1723,1,"[['22', 2]]"
a1784,1,"[['22', 2]]"
a1863,1,"[['24', 11]]"
a1984,1,"[['22', 2]]"
a20,1,"[['23', 2]]"
a2018,1,"[['2', 1]]"
a205u,1,"[['23', 2]]"
a2105,1,"[['22', 1]]"
a2111,1,"[['22', 4]]"
a2160.,1,"[['22', 2]]"
a22,1,"[['8', 1]]"
a31,1,"[['8', 1]]"
a315,1,"[['60', 1]]"
a315gzkkzto,1,"[['8', 1]]"
a32,4,"[['2', 1], ['8', 3], ['9', 2], ['43', 1]]"
a51,1,"[['4', 1]]"
a53,1,"[['18', 1]]"
a71,1,"[['8', 1]]"
a715fzkpzto,1,"[['8', 1]]"
a72,1,"[['43', 1]]"
a73,1,"[['18', 1]]"
abaixo,8,"[['3', 1], ['4', 1], ['7', 1], ['9', 1], ['11', 2], ['15', 2], ['16', 2], ['18', 2]]"
abaixo.,4,"[['3', 13], ['4', 13], ['7', 13], ['9', 13]]"
abajures,1,"[['20', 1]]"
abas,1,"[['3', 1]]"
aber,1,"[['3', 1]]"
aberta,4,"[['3', 5], ['4', 5], ['7', 5], ['9', 5]]"
abertas,1,"[['3', 1]]"
abertos,1,"[['3', 2]]"
abertura,2,"[['15', 1], ['18', 5]]"
able,1,"[['21', 1]]"
abnt2,1,"[['60', 1]]"
about,7,"[['9', 1], ['10', 2], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['22', 2]]"
abrangente,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
abre,3,"[['3', 1], ['21', 17], ['23', 18]]"
abril,2,"[['3', 1], ['7', 1]]"
absent,1,"[['22', 1]]"
absolute,1,"[['9', 2]]"
abuso,4,"[['3', 13], ['4', 8], ['7', 8], ['9', 5]]"
acaba,1,"[['4', 1]]"
acabamento,3,"[['4', 1], ['20', 1], ['64', 1]]"
acabaram,1,"[['60', 1]]"
acabei,1,"[['4', 1]]"
academicas,1,"[['43', 1]]"
acampamento,1,"[['20', 1]]"
acao,2,"[['10', 1], ['20', 2]]"
accelerometer,2,"[['23', 2], ['24', 1]]"
access,1,"[['24', 1]]"
accessories,3,"[['21', 1], ['22', 4], ['24', 1]]"
accurate,1,"[['23', 1]]"
aceita,5,"[['3', 5], ['4', 5], ['7', 5], ['9', 5], ['23', 1]]"
aceitamos,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
aceitas,8,"[['1', 1], ['2', 1], ['3', 6], ['4', 6], ['7', 6], ['8', 1], ['9', 6], ['23', 1]]"
aceitos,4,"[['3', 1], ['4', 1], ['7', 1], ['9', 1]]"
acelerado,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
acelerador,1,"[['1', 1]]"
acelerometro,2,"[['11', 1], ['15', 1]]"
acer,1,"[['60', 1]]"
acessar,7,"[['1', 1], ['3', 2], ['21', 2], ['23', 2], ['44', 2], ['45', 2], ['46', 2]]"
acesse,4,"[['3', 35], ['4', 35], ['7', 35], ['9', 35]]"
acessibilidade,8,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['43', 2]]"
acessiveis,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
acesso,7,"[['1', 1], ['3', 3], ['4', 1], ['7', 1], ['9', 1], ['21', 1], ['23', 1]]"
acessorio,3,"[['3', 1], ['4', 1], ['7', 1]]"
acessorios,13,"[['2', 5], ['3', 19], ['4', 18], ['7', 19], ['8', 7], ['9', 19], ['10', 1], ['20', 7], ['21', 2], ['22', 6], ['23', 2], ['24', 1], ['43', 1]]"
acharam,4,"[['3', 13], ['4', 8], ['7', 8], ['9', 5]]"
achei,1,"[['3', 3]]"
acidentais,3,"[['3', 2], ['4', 2], ['7', 2]]"
acidental,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
acidentes,3,"[['3', 2], ['4', 2], ['7', 2]]"
acima,7,"[['2', 8], ['8', 9], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
acionamento,1,"[['20', 1]]"
acione,3,"[['3', 2], ['4', 2], ['7', 2]]"
acionistas,1,"[['20', 1]]"
acoes,4,"[['3', 1], ['4', 1], ['7', 1], ['9', 1]]"
acompanha,1,"[['4', 1]]"
acompanhados,4,"[['3', 5], ['4', 5], ['7', 5], ['9', 5]]"
acompanhar,2,"[['68', 1], ['74', 1]]"
acordo,10,"[['10', 1], ['23', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
acostumada,1,"[['3', 1]]"
acreditei,1,"[['3', 1]]"
activated,1,"[['24', 1]]"
activation.,1,"[['21', 1]]"
actually,1,"[['9', 1]]"
acustica,1,"[['43', 1]]"
adaptador,4,"[['2', 1], ['4', 1], ['7', 2], ['15', 1]]"
adaptador.,1,"[['3', 3]]"
adaptar,1,"[['3', 1]]"
adapter,1,"[['24', 1]]"
adaptivesync,1,"[['11', 1]]"
adchoice,5,"[['20', 1], ['21', 1], ['22', 1], ['23', 1], ['24', 1]]"
