vocabulary,ni,occurrences
informacoes.,4,"[['3', 2], ['4', 2], ['7', 2], ['9', 1]]"
informar,4,"[['3', 13], ['4', 8], ['7', 8], ['9', 5]]"
informatica,8,"[['1', 1], ['2', 2], ['3', 4], ['4', 4], ['7', 4], ['8', 2], ['9', 5], ['43', 4]]"
informational,1,"[['22', 1]]"
informe,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
ingles,6,"[['11', 3], ['15', 3], ['16', 1], ['18', 4], ['21', 3], ['23', 3]]"
inicial,11,"[['3', 2], ['4', 2], ['7', 2], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['20', 1], ['21', 2], ['23', 2]]"
iniciar,4,"[['3', 3], ['4', 3], ['7', 3], ['9', 2]]"
inicio,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 2]]"
initially,1,"[['9', 1]]"
innovation,1,"[['22', 1]]"
inovacao,1,"[['64', 1]]"
inox,1,"[['43', 1]]"
inquerito,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
inquietos,1,"[['4', 1]]"
insatisfeita.,1,"[['4', 2]]"
inscrever,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
inserte,1,"[['9', 1]]"
inside,2,"[['9', 2], ['22', 1]]"
insira,6,"[['3', 1], ['4', 1], ['7', 1], ['9', 1], ['21', 4], ['23', 4]]"
inspecao,1,"[['20', 1]]"
inspecionado,2,"[['21', 1], ['23', 1]]"
inspira,1,"[['64', 1]]"
instagram,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
instalacao,3,"[['3', 1], ['4', 1], ['7', 3]]"
instalada,1,"[['3', 1]]"
instalado,1,"[['9', 1]]"
instalar,1,"[['3', 1]]"
instantaneamente,1,"[['70', 1]]"
institucional,9,"[['43', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
instrucao,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
instrucoes,8,"[['3', 43], ['4', 43], ['7', 43], ['9', 43], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
instrumentos,9,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['20', 1], ['43', 2]]"
instruments,1,"[['22', 1]]"
intacta.,4,"[['3', 6], ['4', 6], ['7', 6], ['9', 6]]"
integrada,2,"[['11', 1], ['15', 1]]"
integrado,1,"[['9', 1]]"
integrados,1,"[['8', 1]]"
integral,4,"[['3', 3], ['4', 3], ['7', 3], ['9', 3]]"
intel,1,"[['60', 2]]"
intelectual,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
inteligencia,2,"[['2', 1], ['69', 1]]"
inteligente,5,"[['2', 1], ['10', 1], ['20', 1], ['43', 1], ['69', 3]]"
inteligentes,2,"[['20', 1], ['22', 3]]"
interesante,1,"[['3', 1]]"
interessar,1,"[['20', 1]]"
interesses,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
interface,6,"[['3', 3], ['4', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
interior,1,"[['22', 1]]"
intermediario,1,"[['4', 2]]"
intermediario.,1,"[['3', 1]]"
interminaveis,1,"[['69', 1]]"
interna,4,"[['3', 16], ['4', 16], ['7', 16], ['9', 16]]"
internacionais,1,"[['9', 1]]"
internacional,3,"[['9', 1], ['21', 8], ['23', 8]]"
internacional.,2,"[['21', 1], ['23', 1]]"
internacionales,1,"[['9', 1]]"
internal,1,"[['24', 1]]"
international,7,"[['8', 1], ['9', 3], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
internet,4,"[['3', 1], ['24', 1], ['43', 1], ['70', 1]]"
internet.,1,"[['43', 1]]"
interno.,1,"[['3', 1]]"
interpreta,1,"[['3', 1]]"
interrupcoes,1,"[['69', 2]]"
introduced,1,"[['22', 1]]"
intuitiva.,1,"[['4', 1]]"
intuitively,1,"[['22', 1]]"
inutilizavel,1,"[['4', 2]]"
invents,1,"[['24', 1]]"
inverno,1,"[['20', 1]]"
investidores,1,"[['43', 1]]"
investimento.,1,"[['4', 2]]"
investors,1,"[['43', 1]]"
ioga,1,"[['20', 1]]"
ion,2,"[['7', 2], ['9', 1]]"
ios,8,"[['2', 2], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['22', 2], ['24', 1]]"
iowa,1,"[['23', 2]]"
ip67,1,"[['22', 1]]"
ip68,1,"[['22', 1]]"
ipad,1,"[['43', 3]]"
ipads,1,"[['43', 2]]"
iphone,5,"[['2', 2], ['4', 1], ['22', 132], ['24', 33], ['43', 6]]"
iphone.,2,"[['22', 1], ['24', 1]]"
iphones,1,"[['22', 3]]"
iphones.,1,"[['22', 1]]"
ips,4,"[['3', 1], ['4', 2], ['60', 1], ['75', 1]]"
ira,3,"[['3', 1], ['21', 1], ['23', 1]]"
irlanda,3,"[['15', 1], ['21', 2], ['23', 2]]"
islandes,1,"[['18', 1]]"
islandia,2,"[['21', 2], ['23', 2]]"
ismael,1,"[['4', 1]]"
israel,1,"[['21', 2]]"
isreal,1,"[['18', 1]]"
isso,10,"[['3', 17], ['4', 10], ['7', 9], ['9', 5], ['11', 2], ['15', 2], ['16', 2], ['18', 2], ['64', 1], ['69', 1]]"
issue.,1,"[['21', 1]]"
issues,1,"[['21', 1]]"
italia,13,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['10', 1], ['11', 1], ['15', 2], ['16', 1], ['18', 1], ['21', 2]]"
italiano,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
item,11,"[['3', 8], ['4', 7], ['7', 7], ['9', 3], ['11', 4], ['15', 4], ['16', 4], ['18', 4], ['21', 22], ['23', 19], ['24', 11]]"
item.,10,"[['3', 2], ['4', 2], ['7', 2], ['9', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['21', 1], ['23', 1]]"
items,1,"[['23', 2]]"
itens,16,"[['2', 1], ['3', 22], ['4', 22], ['7', 22], ['8', 1], ['9', 20], ['10', 2], ['11', 2], ['15', 2], ['16', 2], ['18', 2], ['20', 7], ['21', 12], ['22', 3], ['23', 12], ['24', 6]]"
iterations,1,"[['22', 1]]"
its,2,"[['22', 1], ['24', 1]]"
iva,4,"[['11', 2], ['15', 2], ['16', 2], ['18', 2]]"
jack.,1,"[['22', 1]]"
jamaica,1,"[['24', 1]]"
jamais,1,"[['69', 1]]"
janela,2,"[['21', 19], ['23', 20]]"
jantar,2,"[['20', 1], ['43', 1]]"
japao,8,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['21', 2]]"
japones,6,"[['11', 2], ['15', 2], ['16', 1], ['18', 1], ['21', 1], ['23', 1]]"
jardim,18,"[['1', 1], ['2', 1], ['3', 3], ['4', 3], ['7', 3], ['8', 1], ['9', 3], ['10', 1], ['20', 4], ['43', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
jbl,2,"[['2', 5], ['60', 1]]"
jblboombox2blk,1,"[['2', 2]]"
jblgo2blk,1,"[['2', 1]]"
jblsb160blkbr,1,"[['60', 1]]"
jblwind2blk,1,"[['2', 1]]"
jeffmaister,1,"[['23', 1]]"
jersei,2,"[['21', 2], ['23', 2]]"
jet,1,"[['22', 2]]"
jewelry,1,"[['22', 1]]"
jjrc,1,"[['10', 1]]"
job,1,"[['24', 1]]"
jogando,1,"[['3', 2]]"
jogar,1,"[['69', 1]]"
jogo,1,"[['3', 1]]"
jogos,12,"[['1', 3], ['2', 3], ['3', 8], ['4', 5], ['7', 4], ['8', 3], ['9', 4], ['64', 1], ['68', 1], ['69', 2], ['70', 1], ['74', 1]]"
"jogos,como",1,"[['4', 1]]"
joias,9,"[['1', 2], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['10', 1], ['20', 2]]"
joycon,1,"[['60', 1]]"
juan,1,"[['3', 1]]"
jugar,1,"[['3', 1]]"
julho,9,"[['4', 4], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
juliana,1,"[['7', 1]]"
jun,1,"[['23', 1]]"
junho,4,"[['3', 6], ['4', 4], ['7', 6], ['9', 1]]"
junte,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
junto,3,"[['3', 1], ['68', 1], ['74', 1]]"
juntos,3,"[['3', 1], ['4', 1], ['7', 1]]"
juros,12,"[['2', 12], ['3', 10], ['4', 10], ['7', 10], ['8', 18], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
juros.,1,"[['2', 1]]"
juscelino,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
just,3,"[['9', 1], ['21', 1], ['23', 3]]"
k41s,1,"[['2', 1]]"
k50s,1,"[['2', 1]]"
kabum,8,"[['60', 9], ['64', 10], ['68', 9], ['69', 9], ['70', 10], ['71', 9], ['74', 9], ['75', 9]]"
kabum.com.br,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
kannada,2,"[['11', 2], ['15', 2]]"
karine,1,"[['3', 2]]"
kb7rdx,1,"[['60', 1]]"
kevin.borges,1,"[['7', 2]]"
key,2,"[['23', 1], ['24', 1]]"
khmer,3,"[['11', 2], ['15', 2], ['18', 1]]"
kind,1,"[['10', 1]]"
kindle,7,"[['1', 8], ['2', 2], ['3', 12], ['4', 12], ['7', 13], ['8', 2], ['9', 12]]"
kingdom,2,"[['21', 2], ['23', 2]]"
kit,6,"[['2', 4], ['3', 8], ['4', 6], ['7', 10], ['10', 1], ['60', 2]]"
kitts,2,"[['21', 2], ['23', 2]]"
kkkk,1,"[['3', 1]]"
know,1,"[['10', 1]]"
kong,3,"[['3', 2], ['11', 1], ['15', 1]]"
kontaktiert,1,"[['3', 1]]"
kreativdesign,1,"[['3', 1]]"
kryo,1,"[['3', 2]]"
kuaite,2,"[['21', 2], ['23', 2]]"
kubitschek,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
kumara,1,"[['60', 1]]"
kuwait,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
laboratorios,1,"[['20', 1]]"
lacrada,1,"[['4', 1]]"
lacrado,1,"[['22', 1]]"
lacre,4,"[['3', 12], ['4', 12], ['7', 12], ['9', 12]]"
lag.,1,"[['70', 1]]"
lake,1,"[['2', 2]]"
lancamentos,12,"[['1', 1], ['2', 2], ['8', 1], ['43', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
lance,1,"[['22', 2]]"
lances,5,"[['20', 3], ['21', 2], ['22', 4], ['23', 2], ['24', 2]]"
lanches,1,"[['1', 1]]"
lang,5,"[['20', 1], ['21', 1], ['22', 1], ['23', 1], ['24', 1]]"
lange,1,"[['3', 1]]"
lange.,1,"[['3', 1]]"
lanka,2,"[['21', 2], ['23', 2]]"
laos,2,"[['21', 1], ['23', 1]]"
laotia,1,"[['18', 1]]"
laptops,4,"[['3', 5], ['4', 5], ['7', 5], ['9', 5]]"
lar,8,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['20', 1]]"
laranja,1,"[['2', 1]]"
largos,1,"[['3', 1]]"
largura,1,"[['9', 1]]"
las,2,"[['3', 1], ['9', 2]]"
lasst,1,"[['3', 1]]"
last,2,"[['22', 4], ['24', 1]]"
lastly,1,"[['9', 1]]"
lateral,5,"[['3', 1], ['11', 1], ['15', 1], ['18', 1], ['60', 1]]"
latina,2,"[['20', 1], ['60', 1]]"
laura,1,"[['3', 1]]"
lava,1,"[['43', 2]]"
lavadora,1,"[['43', 1]]"
lawl,1,"[['23', 1]]"
lazer,13,"[['3', 2], ['4', 2], ['7', 2], ['9', 2], ['43', 2], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
lcd,4,"[['3', 4], ['4', 2], ['8', 1], ['75', 1]]"
learn,2,"[['21', 1], ['23', 1]]"
leave,1,"[['23', 1]]"
led,2,"[['43', 1], ['60', 1]]"
legal,1,"[['3', 1]]"
legitimate,1,"[['9', 2]]"
legitimate.,1,"[['9', 1]]"
lei,1,"[['3', 1]]"
leia,12,"[['1', 1], ['3', 1], ['4', 1], ['7', 1], ['9', 1], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['21', 1], ['23', 1]]"
leido,1,"[['3', 1]]"
leilao,2,"[['22', 1], ['24', 2]]"
leistung,1,"[['3', 1]]"
leitores,2,"[['8', 1], ['20', 1]]"
leitura,2,"[['11', 1], ['15', 1]]"
lembro,7,"[['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
lenha,1,"[['43', 1]]"
lenovo,1,"[['60', 1]]"
lens,1,"[['18', 1]]"
lenta,1,"[['15', 1]]"
lente,4,"[['3', 1], ['9', 1], ['15', 1], ['18', 3]]"
leoa,2,"[['21', 1], ['23', 1]]"
leonardo,1,"[['3', 1]]"
ler,5,"[['3', 13], ['4', 8], ['7', 8], ['9', 5], ['21', 1]]"
les,1,"[['3', 3]]"
lesoto,2,"[['21', 1], ['23', 1]]"
less,1,"[['22', 1]]"
less.,1,"[['9', 1]]"
letao,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
letonia,3,"[['15', 1], ['21', 2], ['23', 2]]"
leves,1,"[['20', 1]]"
lhe,3,"[['21', 1], ['23', 1], ['69', 1]]"
liberacao,1,"[['23', 1]]"
liberia,2,"[['21', 1], ['23', 1]]"
libia,2,"[['21', 1], ['23', 1]]"
libre,1,"[['9', 1]]"
libres.,1,"[['9', 1]]"
lidas,1,"[['43', 1]]"
lider,1,"[['10', 1]]"
liechtenstein,2,"[['21', 2], ['23', 2]]"
life,2,"[['22', 1], ['23', 1]]"
ligando,1,"[['18', 1]]"
light,2,"[['23', 2], ['24', 1]]"
lightning,2,"[['2', 3], ['24', 1]]"
like,3,"[['9', 2], ['21', 2], ['23', 4]]"
lima,1,"[['43', 1]]"
limao,1,"[['2', 1]]"
limeira,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
limitada,1,"[['21', 1]]"
limitadas,2,"[['21', 1], ['23', 1]]"
limitado,1,"[['22', 1]]"
limitations,1,"[['23', 1]]"
limpeza,4,"[['3', 5], ['4', 5], ['7', 5], ['9', 5]]"
limpo,2,"[['21', 1], ['23', 1]]"
lindo,2,"[['68', 1], ['74', 1]]"
lindos,2,"[['68', 1], ['74', 1]]"
linear,1,"[['15', 1]]"
lines,1,"[['22', 1]]"
lingua,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
linguagem,1,"[['23', 1]]"
linha,2,"[['3', 1], ['4', 1]]"
link,1,"[['43', 1]]"
links,5,"[['3', 1], ['4', 1], ['7', 1], ['9', 1], ['23', 1]]"
linux,1,"[['60', 1]]"
lipo,1,"[['3', 1]]"
liquidos,3,"[['3', 2], ['4', 2], ['7', 2]]"
lisinho,1,"[['3', 1]]"
lista,12,"[['1', 1], ['10', 2], ['11', 3], ['15', 3], ['16', 3], ['18', 3], ['20', 3], ['21', 6], ['22', 4], ['23', 6], ['24', 3], ['43', 3]]"
listas,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
listening,1,"[['22', 1]]"
lite,3,"[['1', 1], ['2', 1], ['15', 4]]"
literalmente,1,"[['3', 1]]"
litio,4,"[['3', 2], ['7', 2], ['9', 5], ['16', 1]]"
little,1,"[['9', 1]]"
lituania,3,"[['15', 1], ['21', 2], ['23', 2]]"
lituano,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
live,1,"[['24', 1]]"
livros,8,"[['1', 6], ['2', 3], ['3', 5], ['4', 5], ['7', 5], ['8', 4], ['9', 5], ['43', 3]]"
llamadas,1,"[['3', 1]]"
llega,1,"[['9', 1]]"
llegan,1,"[['9', 1]]"
llego,1,"[['9', 1]]"
lmg850um9,1,"[['23', 6]]"
lmg850um9asprbk,1,"[['23', 2]]"
lmg900um1,1,"[['23', 1]]"
lmv405ua,1,"[['23', 1]]"
lmv600am,1,"[['23', 1]]"
locacao,1,"[['3', 2]]"
locais,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 3], ['18', 1]]"
locais.,2,"[['11', 1], ['15', 1]]"
local,3,"[['21', 1], ['23', 1], ['24', 2]]"
local.,6,"[['11', 2], ['15', 2], ['16', 2], ['18', 2], ['21', 1], ['23', 1]]"
localizada,1,"[['3', 1]]"
localizado,2,"[['21', 1], ['23', 1]]"
location.,1,"[['23', 1]]"
lock,3,"[['21', 1], ['22', 1], ['24', 1]]"
locked,1,"[['21', 4]]"
login,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
logistica,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
logitech,1,"[['60', 1]]"
logo,2,"[['4', 1], ['23', 1]]"
loja,11,"[['1', 3], ['2', 1], ['3', 5], ['4', 5], ['7', 6], ['8', 1], ['9', 6], ['10', 1], ['21', 3], ['23', 3], ['43', 1]]"
lojas,2,"[['20', 1], ['43', 3]]"
london,1,"[['9', 1]]"
long,3,"[['22', 1], ['23', 1], ['24', 1]]"
longa,2,"[['23', 2], ['24', 2]]"
longe,1,"[['3', 1]]"
longe.,1,"[['69', 1]]"
longer,1,"[['22', 1]]"
longo,4,"[['3', 14], ['4', 13], ['7', 13], ['9', 13]]"
looks,2,"[['9', 1], ['22', 1]]"
los,2,"[['3', 4], ['9', 1]]"
lost,1,"[['22', 1]]"
lote,9,"[['22', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
lotes,1,"[['22', 1]]"
lots,1,"[['23', 1]]"
loucas,1,"[['43', 1]]"
love,2,"[['10', 1], ['23', 1]]"
lowest,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
lpddr4x,1,"[['15', 1]]"
ltda,2,"[['3', 2], ['8', 1]]"
ltda.,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
lte,8,"[['2', 2], ['11', 2], ['15', 2], ['16', 1], ['18', 1], ['21', 1], ['23', 1], ['24', 2]]"
lucia,2,"[['21', 2], ['23', 2]]"
lugar,1,"[['3', 1]]"
lugares,1,"[['3', 1]]"
luiz,1,"[['7', 1]]"
luiza,1,"[['43', 10]]"
luizaseg,1,"[['43', 3]]"
luminarias,1,"[['20', 1]]"
luminous,1,"[['43', 1]]"
luxemburgo,3,"[['15', 1], ['21', 2], ['23', 2]]"
luz,5,"[['3', 1], ['11', 2], ['15', 3], ['16', 2], ['18', 1]]"
luzes,1,"[['10', 1]]"
m.leao.shop,1,"[['7', 4]]"
m12,2,"[['2', 1], ['8', 3]]"
m2102j20sg,1,"[['3', 2]]"
m22,2,"[['8', 1], ['43', 1]]"
m62,1,"[['8', 1]]"
m711,1,"[['60', 1]]"
macau,2,"[['21', 2], ['23', 2]]"
macbook,1,"[['43', 1]]"
macedonio,3,"[['11', 1], ['15', 1], ['18', 1]]"
macho,1,"[['2', 1]]"
macia,1,"[['9', 1]]"
macro,2,"[['11', 1], ['18', 1]]"
madagascar,2,"[['21', 1], ['23', 1]]"
maga,1,"[['43', 1]]"
magalu,1,"[['43', 9]]"
magazine,2,"[['22', 1], ['43', 4]]"
magazines,1,"[['22', 1]]"
magicos.,1,"[['69', 1]]"
magnetica,1,"[['18', 1]]"
magyar,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
mah,4,"[['2', 2], ['3', 2], ['8', 1], ['70', 2]]"
mai,1,"[['24', 1]]"
mail,15,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['21', 1], ['23', 2], ['60', 3], ['64', 3], ['68', 3], ['69', 3], ['70', 3], ['71', 3], ['74', 3], ['75', 3]]"
mails.,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
maintenance,1,"[['10', 2]]"
maio,11,"[['3', 5], ['7', 5], ['9', 3], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
maior,7,"[['11', 1], ['15', 1], ['16', 1], ['18', 1], ['21', 1], ['23', 1], ['60', 2]]"
maioria,4,"[['3', 13], ['4', 14], ['7', 13], ['9', 13]]"
mais,26,"[['1', 15], ['2', 23], ['3', 80], ['4', 72], ['7', 71], ['8', 5], ['9', 60], ['10', 2], ['11', 4], ['15', 4], ['16', 4], ['18', 4], ['20', 26], ['21', 11], ['22', 6], ['23', 12], ['24', 5], ['43', 5], ['60', 4], ['64', 5], ['68', 5], ['69', 9], ['70', 7], ['71', 5], ['74', 5], ['75', 4]]"
mais.,3,"[['1', 1], ['9', 1], ['20', 3]]"
mais...,2,"[['21', 1], ['23', 1]]"
make,1,"[['22', 1]]"
mal,1,"[['3', 2]]"
malaiala,1,"[['18', 1]]"
malaio,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
malas,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
malasia,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
malayalam,2,"[['11', 2], ['15', 2]]"
malaysia,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
mali,3,"[['11', 1], ['16', 1], ['18', 1]]"
malta,2,"[['21', 2], ['23', 2]]"
maltes,2,"[['11', 1], ['15', 1]]"
man,1,"[['8', 1]]"
mandaban,1,"[['3', 1]]"
maneira,1,"[['69', 1]]"
maneja,1,"[['9', 1]]"
manga,1,"[['18', 1]]"
manicure,1,"[['20', 1]]"
mano,1,"[['3', 1]]"
manos,1,"[['3', 1]]"
manter,2,"[['4', 1], ['75', 1]]"
manuais,4,"[['3', 12], ['4', 12], ['7', 12], ['9', 12]]"
manuela,1,"[['3', 1]]"
manufacture,1,"[['21', 1]]"
manufacturer,2,"[['21', 1], ['23', 1]]"
manufatura,1,"[['20', 1]]"
manutencao,1,"[['20', 1]]"
many,1,"[['22', 2]]"
mao,2,"[['3', 1], ['64', 1]]"
mao.,2,"[['68', 1], ['74', 1]]"
mapa,10,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['20', 2], ['21', 1], ['22', 1], ['23', 1], ['24', 1]]"
mapfre,3,"[['3', 2], ['4', 2], ['7', 2]]"
maquiagem,1,"[['20', 1]]"
maquina,1,"[['60', 2]]"
maquinas,1,"[['43', 1]]"
marata,3,"[['11', 1], ['15', 1], ['18', 1]]"
maravilla,1,"[['3', 1]]"
marca,20,"[['2', 2], ['3', 4], ['4', 2], ['7', 3], ['8', 1], ['9', 3], ['11', 2], ['15', 2], ['16', 2], ['18', 2], ['22', 1], ['23', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
marcas,2,"[['20', 1], ['22', 1]]"
marfim,1,"[['43', 1]]"
marinho,1,"[['2', 2]]"
marketplace,9,"[['43', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
marmita,1,"[['43', 1]]"
marmore,1,"[['9', 1]]"
martinica,2,"[['21', 2], ['23', 2]]"
marvel,1,"[['20', 1]]"
mas,7,"[['3', 10], ['4', 3], ['7', 7], ['21', 1], ['23', 2], ['68', 1], ['74', 1]]"
mas...,1,"[['3', 1]]"
masculina,1,"[['1', 1]]"
masculinas,2,"[['1', 1], ['20', 1]]"
masculino,8,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['10', 1]]"
masculinos,1,"[['20', 3]]"
massa,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
massageadores,1,"[['20', 1]]"
mastercard,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
materiais,8,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['20', 3]]"
material,8,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['16', 1]]"
materias,1,"[['43', 1]]"
mau,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
mauricio,2,"[['21', 1], ['23', 1]]"
max,9,"[['11', 1], ['22', 20], ['24', 2], ['43', 1], ['68', 1], ['69', 15], ['70', 2], ['74', 1], ['75', 4]]"
maximo,3,"[['3', 2], ['9', 1], ['75', 1]]"
may,3,"[['21', 1], ['22', 1], ['24', 1]]"
maybe,1,"[['9', 1]]"
me.,1,"[['23', 1]]"
means,1,"[['22', 1]]"
measured,1,"[['23', 1]]"
mecanico,1,"[['60', 2]]"
media,6,"[['3', 2], ['4', 1], ['7', 1], ['9', 1], ['23', 1], ['24', 1]]"
mediatek,1,"[['16', 1]]"
medicao,1,"[['20', 1]]"
medicos,4,"[['3', 2], ['4', 2], ['7', 2], ['9', 2]]"
medida,1,"[['64', 1]]"
mediocre,1,"[['3', 1]]"
medo.,1,"[['3', 1]]"
mega,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
megapixel,2,"[['3', 1], ['22', 3]]"
mehr,1,"[['3', 1]]"
meia,1,"[['22', 1]]"
mein,1,"[['3', 1]]"
meines,1,"[['3', 1]]"
meio,3,"[['3', 2], ['21', 1], ['23', 1]]"
mejor,1,"[['3', 1]]"
mejora,1,"[['9', 1]]"
mejorar,1,"[['3', 1]]"
melhor,10,"[['3', 7], ['4', 2], ['10', 1], ['11', 2], ['15', 2], ['16', 2], ['18', 2], ['22', 2], ['69', 1], ['75', 1]]"
melhora,1,"[['70', 1]]"
melhorar,4,"[['3', 1], ['4', 1], ['7', 1], ['43', 1]]"
melhores,9,"[['1', 1], ['2', 1], ['3', 3], ['4', 2], ['7', 2], ['9', 2], ['10', 1], ['43', 1], ['70', 1]]"
melhorias,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
melo,1,"[['3', 2]]"
mem,1,"[['22', 1]]"
membro,2,"[['21', 1], ['23', 1]]"
memorabilia,2,"[['20', 2], ['22', 1]]"
memoria,6,"[['2', 1], ['3', 6], ['4', 2], ['7', 3], ['9', 3], ['60', 1]]"
memoriaram,1,"[['3', 1]]"
memory,2,"[['21', 1], ['23', 3]]"
mencionado,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
meninas,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
meninos,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
menor,3,"[['3', 1], ['21', 2], ['23', 2]]"
menor.,2,"[['21', 1], ['23', 1]]"
menos,6,"[['20', 2], ['21', 1], ['23', 1], ['24', 1], ['68', 1], ['74', 1]]"
menospreciar,1,"[['9', 1]]"
